iter	Passed	Remaining
0	305	305073
1	496	247570
2	675	224539
3	828	206203
4	985	196087
5	1143	189514
6	1301	184569
7	1481	183659
8	1631	179656
9	1791	177366
10	2067	185888
11	2438	200766
12	2618	198808
13	2810	197969
14	2973	195260
15	3144	193404
16	3336	192928
17	3518	191941
18	3696	190869
19	3863	189292
20	4024	187616
21	4194	186451
22	4397	186805
23	4546	184890
24	4730	184485
25	4895	183389
26	5069	182700
27	5228	181520
28	5409	181123
29	5565	179946
30	5727	179042
31	5941	179720
32	6150	180231
33	6348	180380
34	6506	179402
35	6654	178195
36	6807	177179
37	6969	176432
38	7148	176139
39	7310	175455
40	7476	174866
41	7629	174029
42	7948	176908
43	8278	179858
44	8439	179109
45	8615	178669
46	8782	178086
47	8988	178270
48	9207	178695
49	9375	178137
50	9541	177542
51	9698	176808
52	9869	176349
53	10032	175749
54	10199	175239
55	10352	174513
56	10505	173802
57	10655	173058
58	10814	172487
59	10970	171878
60	11145	171573
61	11305	171038
62	11458	170426
63	11616	169893
64	11774	169370
65	11938	168946
66	12110	168646
67	12275	168242
68	12430	167718
69	12607	167505
70	12762	166994
71	12920	166525
72	13082	166136
73	13244	165736
74	13404	165326
75	13551	164758
76	13708	164320
77	13872	163981
78	14033	163610
79	14191	163205
80	14353	162850
81	14500	162329
82	14659	161956
83	14812	161527
84	14989	161360
85	15180	161334
86	15331	160893
87	15481	160443
88	15640	160098
89	15789	159653
90	15950	159331
91	16097	158872
92	16251	158495
93	16408	158151
94	16610	158236
95	16775	157965
96	16921	157530
97	17078	157193
98	17222	156738
99	17386	156481
100	17542	156141
101	17703	155860
102	17849	155442
103	18003	155105
104	18161	154807
105	18314	154464
106	18482	154253
107	18632	153894
108	18803	153702
109	18960	153406
110	19120	153138
111	19283	152887
112	19447	152657
113	19603	152355
114	19756	152039
115	19912	151744
116	20067	151448
117	20210	151065
118	20366	150782
119	20519	150478
120	20672	150174
121	20826	149884
122	20976	149566
123	21144	149374
124	21306	149148
125	21465	148894
126	21620	148622
127	21786	148422
128	21936	148112
129	22103	147924
130	22251	147607
131	22422	147445
132	22579	147190
133	22733	146917
134	22887	146650
135	23038	146365
136	23194	146111
137	23380	146044
138	23521	145698
139	23689	145521
140	23845	145270
141	23994	144982
142	24163	144813
143	24330	144633
144	24497	144452
145	24667	144287
146	24846	144177
147	25001	143928
148	25157	143685
149	25313	143442
150	25470	143207
151	25616	142913
152	25772	142674
153	25924	142419
154	26077	142163
155	26222	141872
156	26381	141650
157	26548	141479
158	26696	141207
159	26853	140983
160	27002	140717
161	27159	140489
162	27317	140275
163	27474	140051
164	27630	139827
165	27797	139659
166	27943	139383
167	28093	139131
168	28260	138962
169	28416	138740
170	28572	138519
171	28752	138411
172	28899	138148
173	29049	137902
174	29219	137749
175	29390	137601
176	29570	137493
177	29730	137294
178	29889	137091
179	30047	136884
180	30196	136634
181	30353	136424
182	30502	136178
183	30845	136792
184	31140	137188
185	31315	137048
186	31473	136833
187	31635	136637
188	31795	136436
189	31948	136201
190	32097	135950
191	32258	135755
192	32414	135537
193	32538	135187
194	32666	134853
195	32793	134520
196	32918	134181
197	33054	133886
198	33177	133542
199	33310	133242
200	33439	132926
201	33564	132596
202	33689	132269
203	33812	131933
204	33940	131621
205	34069	131316
206	34211	131060
207	34338	130750
208	34468	130453
209	34598	130154
210	34725	129849
211	34851	129541
212	34977	129236
213	35104	128933
214	35239	128666
215	35366	128368
216	35496	128081
217	35623	127788
218	35749	127490
219	35880	127211
220	36002	126903
221	36127	126609
222	36255	126325
223	36386	126054
224	36513	125768
225	36639	125480
226	36764	125193
227	36890	124908
228	37017	124632
229	37145	124357
230	37270	124075
231	37396	123795
232	37523	123521
233	37650	123249
234	37778	122981
235	37907	122718
236	38036	122454
237	38168	122204
238	38296	121939
239	38422	121669
